Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2049","STM1922",,"P0AF06","Escherichia coli","motB","Flagellar motor rotation protein MotB","the h(+)- or na(+)-translocating bacterial flagellar motor/exbbd outer membrane transport energizer (mot/exb) superfamily.","1.A.30.1.1","15919996;16738553;1719217;2002011;2061285;2447650;3007435;6090403;7643400;9097040;9278503",100,100,90,"1e-160"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4193","STM3952",,"P0A2R8","Salmonella typhimurium","corA","Magnesium and cobalt transport protein CorA","the cora metal ion transporter (mit) family.","1.A.35.1.2","10601252;10748031;11677609;15231793;15516579;2548998;2670893;3536881;8314774;9786860",100,100,100,"1e-179"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.443","STM0411",,"218928342","Yersinia pestis CO92","YPO1179","Uncharacterized protein YajD",,"","14742535",100,98,84,"7e-56"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4289","STM4046",,"P32170","Escherichia coli (strain K12)","rhaA","L-rhamnose isomerase (EC 5.3.1.14)","L-Rhamnitol;L-Rhamnose","Drug target",,99,99,94,"1e-238"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.828","STM0793",,"P12995","Escherichia coli (strain K12)","bioA","Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)","7-Keto-8-Aminopelargonic Acid;2-Amino-4-(4-Amino-Cyclohexa-2,5-Dienyl)-Butyric Acid;N'-Pyridoxyl-Lysine-5'-Monophosphate","Drug target",,99,99,86,"1e-227"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3994","STM3757",,"STM14_4527","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","misL","autotransporter",,"Adhesion","15948960",100,100,100,"0.0"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2972","STM2800",,"A8ANM6","Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696)",,"L-alanine exporter AlaE","the l-alanine exporter (alae) family.","2.A.104.1.1",,100,100,93,"4e-75"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2963","STM2793",,"P25527","Escherichia coli","gabP","gamma-aminobutyrate (GABA) permease","the amino acid-polyamine-organocation (apc) family.","2.A.3.1.4","15919996;16738553;8297211;9205837;9278503",100,100,92,"1e-250"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3368","STM3162",,"P0AA60","Escherichia coli (strain K12)","yghB","DedA family inner membrane protein YghB","the deda or ydjx-z (deda) family.","9.B.27.2.1","15919996;16738553;3513164;9278503",100,100,94,"1e-117"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3062","STM2890",,"SL1344_2869","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344","spaP","Type III secretion inner membrane protein (YscR,SpaR,HrcR,EscR,homologous to flagellar export components); Surface presentation of antigens protein SpaP",,"Secretion,Invasion","8751894",100,100,100,"1e-123"
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1909","STM1802",,,,"Alr","Alanine racemase (EC 5.1.1.1)","Alanine racemase (EC 5.1.1.1)","antibiotic target in susceptible species","19748470;24303782",,,,
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3045","STM2873",,"16766179","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","prgI","MxiH protein; Type III secretion cytoplasmic protein (YscF)",,"","10816487",100,100,100,"1e-38"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.663","STM0626",,"16764003","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","dpiA","Tricarboxylate transport transcriptional regulator TctD => Citrate response regulator CitB",,"","17526851",100,100,100,"1e-126"
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1162","STM1091",,"VFG000465","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","sopB/sigD","Inositol phosphate phosphatase sopB (EC 3.1.3.-)",,"Secretion system,Type III secretion system,Invasion",,100,100,100,"0.0"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4160","STM3915",,"SL1344_3875","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344","trxA","Thioredoxin",,"Modulate host immune response","19884329",100,100,100,"8e-58"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.377","STM0353",,"Q8ZRG7","Salmonella typhimurium",,"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)","the p-type atpase (p-atpase) superfamily.","3.A.3.5.20","11677609",100,100,100,"0.0"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.912","STM0870",,"A7ZJR5","Escherichia coli O139:H28 (strain E24377A / ETEC)",,"Putative transport protein YbjL","the aspartate:alanine exchanger (aaex) family.","2.A.81.1.4","18676672",100,100,96,"0.0"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1158","STM1087",,"16764445","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","pipA","hypothetical protein",,"","15182677",100,100,100,"1e-132"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4118","STM3867",,"16767151","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","atpA","ATP synthase alpha chain (EC 3.6.3.14)",,"","19649318",100,100,100,"1e-292"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1582","STM1494",,"Q8ZPK1","Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)",,"Osmoprotectant ABC transporter, permease protein OsmY","the atp-binding cassette (abc) superfamily.","3.A.1.12.14",,100,100,100,"1e-129"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2683","STM2533",,"P31142","Escherichia coli (strain K12)","sseA","3-mercaptopyruvate sulfurtransferase (EC 2.8.1.2)","S-Mercaptocysteine","Drug target",,99,99,80,"1e-133"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1739","STM1642",,"P63462","Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)","azoR","FMN-dependent NADH-azoreductase (EC 1.7.1.6)","Riboflavin Monophosphate","Drug target",,100,100,100,"1e-109"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4407","STM4167",,"165975568","Actinobacillus pleuropneumoniae serovar 3 str. JL03 ","hemE","Uroporphyrinogen III decarboxylase (EC 4.1.1.37)",,"","12819083",98,98,82,"1e-171"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4516","STM4268",,"P0AF52","Escherichia coli (strain K12)","yjcD","Guanine/hypoxanthine permease GhxP","the nucleobase/ascorbate transporter (nat) or nucleobase:cation symporter-2 (ncs2) family.","2.A.40.7.5","15919996;16738553;8265357;9278503",100,100,97,"1e-246"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2414","STM2272",,"P0AES4","Escherichia coli (strain K12)","gyrA","DNA gyrase subunit A (EC 5.99.1.3)","Ciprofloxacin","Drug target",,99,99,92,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3777","STM3553",,,,"GdpD","Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)","Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)","protein altering cell wall charge conferring antibiotic resistance","21899450",,,,
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1677","STM1583",,"VFG042067","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","steA","Secreted effector protein SteA",,"",,100,100,100,"1e-120"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3805","STM3581",,"P37621","Escherichia coli (strain K12)","yhhS","UPF0226 protein YhhS","the major facilitator superfamily (mfs).","2.A.1.46.7","15919996;16738553;8041620;9278503",100,96,90,"1e-213"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1849","STM1742",,"P08007","Salmonella typhimurium","oppF","Oligopeptide ABC transporter, ATP-binding protein OppF (TC 3.A.1.5.1)","the atp-binding cassette (abc) superfamily.","3.A.1.5.1","10422831;10438628;11677609;16738553;1738314;2821267;3525163;3926486;8202710;8747465;9097039;9278503;9495761",100,100,100,"1e-194"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.375","STM0351",,"Q8ZRG9","Salmonella typhimurium",,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexQ of MexPQ-OpmE system","the resistance-nodulation-cell division (rnd) superfamily.","2.A.6.2.25","11677609",100,100,100,"0.0"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.497","STM0463",,"P69681","Escherichia coli","amtB","Ammonium transporter","the ammonium transporter channel (amt) family.","1.A.11.1.1","10637624;10931328;12023896;15361618;15563598;15919996;1645722;16738553;7984428;8843440;9278503",100,100,92,"1e-233"
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4383","STM4146",,,,"EF-Tu","Translation elongation factor Tu","Translation elongation factor Tu","antibiotic target in susceptible species","364475;9678602",,,,
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4085","STM3837",,"P0A988","Escherichia coli (strain K12)","dnaN","DNA polymerase III beta subunit (EC 2.7.7.7)","[(5R)-5-(2,3-dibromo-5-ethoxy-4-hydroxybenzyl)-4-oxo-2-thioxo-1,3-thiazolidin-3-yl]acetic acid","Drug target",,100,100,95,"1e-201"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.663","STM0626",,"STM474_0647","Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74","dpiA","Tricarboxylate transport transcriptional regulator TctD => Citrate response regulator CitB",,"Virulence","17526851",100,100,100,"1e-126"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.584","STM0549",,"STM14_0641","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fimZ","Transcriptional regulator of fimbriae expression FimZ (LuxR/UhpA family)",,"Regulation of gene expression","19218381;20833811",100,100,100,"1e-114"
"BLAT","Antibiotic Resistance","CARD","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.617","STM0581",,"AFK13828.1","Enterobacter cloacae","ramA","Transcriptional activator RamA",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux,gene modulating permeability to antibiotic",,91,100,85,"1e-53"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4479","STM4233",,"P26602","Escherichia coli (strain K12)","ubiC","Chorismate--pyruvate lyase (EC 4.1.3.40)","4-Hydroxy-3-Methoxybenzoate;P-Hydroxybenzoic Acid","Drug target",,100,100,86,"3e-76"
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4355","STM4106",,,,"KatG","Catalase-peroxidase KatG (EC 1.11.1.21)","Catalase-peroxidase KatG (EC 1.11.1.21)","antibiotic activation enzyme","14638486",,,,
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4392","STM4155",,"16767409","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 ","STM4155","Putative inner membrane protein",,"","16518469",100,100,100,"2e-53"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4508","STM4261",,"16767511","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","STM4261","Large repetitive protein",,"","16518469",100,100,100,"0.0"
"BLAT","Antibiotic Resistance","NDARO","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1343","STM1264",,"WP_001580422.1","Salmonella enterica","aadA","Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family) @ Aminoglycoside 9-nucleotidyltransferase (EC 2.7.7.-) => ANT(9)-I","aminoglycoside nucleotidyltransferase ANT(3'')/ANT(9)","",,100,90,98,"1e-149"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4420","STM4182",,"SL1344_4117","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344","metA","Homoserine O-succinyltransferase (EC 2.3.1.46)",,"Virulence","16518469",100,100,100,"1e-185"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2214","STM2084",,"STM14_2578","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","rfbM","Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)",,"Virulence","7618105",100,100,100,"1e-286"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4221","STM3980",,"16767250","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 ","STM3980","Putative outer membrane protein",,"","16518469",100,100,100,"1e-135"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3043","STM2871",,"16766177","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","prgK","Type III secretion bridge between inner and outermembrane lipoprotein (YscJ,HrcJ,EscJ, PscJ)",,"","10816487",100,100,100,"1e-141"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1134","STM1064",,"P43671","Escherichia coli (strain K12)","pqiB","Paraquat-inducible protein B","the intermembrane phospholipid translocase (impl-t) family.","9.A.69.1.1",,100,100,89,"1e-286"
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3866","STM3636",,"VFG000452","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","lpfE","Protein LpfE",,"Adherence,Fimbrial",,100,100,100,"7e-97"
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4886","PSLT009",,"VFG000442","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","rck","Outer membrane protein X precursor",,"Serum resistance,Adherence,Invasion",,100,100,100,"1e-103"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2268","STM2136",,"SL1344_2112","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344","yegQ","Uncharacterized protease YegQ",,"Virulence","16518469",100,100,100,"1e-272"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2711","STM2558",,"STM474_2663","Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74","cadB","Lysine/cadaverine antiporter membrane protein CadB",,"Virulence","17526851",99,100,100,"1e-257"
"BLAT","Drug Target","TTD","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3293","STM3093",,"TTDR00558",,"endA","Endonuclease I precursor (EC 3.1.21.1)",,"",,100,100,87,"1e-126"
"BLAT","Antibiotic Resistance","CARD","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3527","STM3307",,"AIL15701","Escherichia coli ATCC 25922","murA","UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)",,"antibiotic resistant gene variant or mutant,fosfomycin resistance gene",,100,100,97,"1e-233"
"BLAT","Drug Target","TTD","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2579","STM2432",,"TTDR00357",,"ptsI","Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)",,"",,100,100,97,"0.0"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2102","STM1977",,"P26419","Salmonella typhimurium","fliN","Flagellar motor switch protein FliN","the type iii (virulence-related) secretory pathway (iiisp) family.","3.A.6.2.1","11677609;1551848;1646201;2544561;2656645;3298217;8002587;8491729;9324257",100,100,100,"7e-71"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3787","STM3563",,"P0AEX7","Escherichia coli","livH","Branched-chain amino acid ABC transporter, permease protein LivH (TC 3.A.1.4.1)","the atp-binding cassette (abc) superfamily.","3.A.1.4.1","15919996;16738553;2195019;2649682;2649683;3009409;328304;3891753;4077929;6990419;8041620;9278503;9298646",100,100,98,"1e-168"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2357","STM2218",,"Q8ZNJ9","Salmonella typhimurium","yejE","ABC transporter, permease protein YejE","the atp-binding cassette (abc) superfamily.","3.A.1.5.24","11677609",100,100,100,"1e-201"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1833","STM1727",,"P00929","Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)","trpA","Tryptophan synthase alpha chain (EC 4.2.1.20)","Indole-3-Propanol Phosphate;Indole-3-Glycerol Phosphate;2-[(2-NAPHTHYLSULFONYL)AMINO]ETHYL DIHYDROGEN PHOSPHATE;2-{[4-(TRIFLUOROMETHOXY)BENZOYL]AMINO}ETHYL DIHYDROGEN PHOSPHATE;2-({[4-(TRIFLUOROMETHOXY)PHENYL]SULFONYL}AMINO)ETHYL DIHYDROGEN PHOSPHATE;5-FLUOROINDOLE PROPANOL PHOSPHATE;4-(2-HYDROXYPHENYLTHIO)-1-BUTENYLPHOSPHONIC ACID;4-(2-HYDROXY-4-FLUOROPHENYLTHIO)-BUTYLPHOSPHONIC ACID;4-(2-HYDROXYPHENYLSULFINYL)-BUTYLPHOSPHONIC ACID;N-[1H-INDOL-3-YL-ACETYL]ASPARTIC ACID;N-[1H-INDOL-3-YL-ACETYL]GLYCINE ACID;N-[1H-INDOL-3-YL-ACETYL]VALINE ACID","Drug target",,100,100,100,"1e-150"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1428","STM1343",,"SL1344_1277","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344","nlpC","Probable endopeptidase NlpC",,"Virulence","16518469",100,100,100,"8e-87"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1482","STM1395",,"16764745","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","ssaD","Type III secretion protein SsaD",,"","17526851",100,100,100,"1e-237"
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4391","STM4154",,,,"rpoC","DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)","DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)","antibiotic target in susceptible species","16723576",,,,
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3717","STM3498",,"P0A6Y5","Escherichia coli (strain K12)","hslO","33 kDa chaperonin HslO","2-(N-Morpholino)-Ethanesulfonic Acid","Drug target",,100,100,92,"1e-159"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3817","STM3592",,"P36837","Escherichia coli (strain K12)","yhiP","Di-tripeptide/H+ symporter DtpB","the proton-dependent oligopeptide transporter (pot/ptr) family.","2.A.17.1.3","15919996;16738553;8041620;9278503",99,99,88,"1e-257"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1033","STM0974",,"16764334","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 ","focA","Formate efflux transporter FocA",,"","16518469",100,100,100,"1e-165"
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.628","STM0592",,"VFG000926","Escherichia coli CFT073","fepD","Ferric enterobactin transport system permease protein FepD (TC 3.A.1.14.2)",,"Iron uptake,Siderophore",,98,99,88,"1e-160"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1483","STM1396",,"16764746","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","ssaE","Secretion system effector SsaE",,"","16518469",100,100,100,"1e-37"
