Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.4303",,,"Q8ZKS0","Salmonella typhimurium",,"Predicted rhamnogalacturonide-specific TRAP-type transporter, large transmembrane component RhiC","the tripartite atp-independent periplasmic transporter (trap-t) family.","2.A.56.1.5","11677609;7729880",100,100,100,"1e-239"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1144",,,"P75914","Escherichia coli (strain K12)","ycdX","Putative hydrolase YcdX (EC 3.1.-.-)","Formic Acid","Drug target",,100,100,89,"1e-129"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.153",,,"254791243","Escherichia coli O157:H7 str. TW14359","hcpA","Type IV pilin PilA",,"","18952791",97,98,88,"5e-70"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1494",,,"16764751","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","sseD","Secretion system effector SseD",,"","11159962",100,100,100,"1e-103"
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3083",,,"VFG000552","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","spaO","Type III secretion inner membrane protein (YscQ,homologous to flagellar export components); Surface presentation of antigens protein SpaO",,"Secretion system,Type III secretion system,Invasion",,100,100,100,"1e-178"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3304",,,"P0A820","Shigella flexneri","metK","S-adenosylmethionine synthetase (EC 2.5.1.6)","(Diphosphono)Aminophosphonic Acid;Phosphoaminophosphonic Acid-Adenylate Ester;8-Bromoadenosine-5'-Diphosphate","Drug target",,100,100,97,"1e-219"
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1682",,,"VFG042067","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","steA","Secreted effector protein SteA",,"",,100,100,100,"1e-120"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3227",,,"Q8XG43","Salmonella typhi",,"hypothetical protein","the chlorhexadine exporter (chx) family.","2.A.117.1.3",,94,100,100,"5e-82"
"BLAT","Antibiotic Resistance","CARD","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3434",,,"AAC76093.1","Escherichia coli str. K-12 substr. MG1655","bacA","Undecaprenyl-diphosphatase (EC 3.6.1.27)",,"gene conferring antibiotic resistance via molecular bypass,peptide antibiotic resistance gene",,100,100,97,"1e-149"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.4145",,,"P02925","Escherichia coli (strain K12)","rbsB","Ribose ABC transporter, substrate-binding protein RbsB (TC 3.A.1.2.1)","beta-D-Ribopyranose","Drug target",,100,100,97,"1e-158"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1893",,,"c1661","Escherichia coli CFT073","ychF","GTP-binding and nucleic acid-binding protein YchF",,"Virulence","15845486",100,100,94,"1e-201"
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3086",,,"VFG000555","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","invC","Type III secretion cytoplasmic ATP synthase (EC 3.6.3.14, YscN,SpaL,MxiB,HrcN,EscN); Probable ATP synthase SpaL (EC 3.6.3.14) (Invasion protein InvC)",,"Secretion system,Type III secretion system,Invasion",,100,100,100,"1e-248"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1834",,,"Z2550","Escherichia coli O157:H7 str. EDL933","trpB","Tryptophan synthase beta chain (EC 4.2.1.20)",,"Virulence","15731074",100,100,96,"1e-225"
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3879",,,"VFG000453","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","lpfD","Protein LpfD",,"Adherence,Fimbrial",,47,99,100,"8e-92"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.2339",,,"P55882","Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)","thiD","Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)","4-Amino-5-Hydroxymethyl-2-Methylpyrimidine","Drug target",,100,100,100,"1e-151"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.417",,,"15800120","Escherichia coli O157:H7 str. EDL933","rdgC","DNA recombination-dependent growth factor RdgC",,"","15528651",100,100,92,"1e-161"
"BLAT","Drug Target","TTD","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.4384",,,"TTDR01102",,,"UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)",,"",,99,99,82,"1e-167"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.4115",,,"P0AG82","Escherichia coli",,"Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)","the atp-binding cassette (abc) superfamily.","3.A.1.7.1","11867724;1447208;15919996;16738553;2215649;2993631;3881386;6321434;6365894;7686882;8682808;9228942;9278503;9298646;9671506",100,100,92,"1e-188"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.17",,,"16763406","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 ","STM0016","Lysozyme (N-acetylmuramidase) family, (EC 3.2.1.17)",,"","16518469",100,100,100,"1e-105"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.2520",,,"P0AFE8","Escherichia coli",,"NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)","the h(+) or na(+)-translocating nadh dehydrogenase (ndh) family.","3.D.1.1.1","11997136;12718520;15919996;15996109;16079137;16738553;7607227;7690854;8157582;8366049;9205837;9278503;9298646",100,100,96,"1e-293"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.862",,,"P0A917","Escherichia coli (strain K12)","ompX","Outer membrane protein X precursor","(Hydroxyethyloxy)Tri(Ethyloxy)Octane","Drug target",,100,100,91,"2e-89"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.42",,,"P13738","Escherichia coli",,"Na+/H+ antiporter NhaA type","the nhaa na(+):h(+) antiporter (nhaa) family.","2.A.33.1.1","11258962;15919996;15988517;1630901;1645730;1657980;16738553;17635927;2839489;7592922;7737413;8381959;9278503",98,98,93,"1e-206"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3998",,,"P31434","Escherichia coli (strain K12)","yicI","alpha-xylosidase (EC 3.2.1.177)","3[N-Morpholino]Propane Sulfonic Acid;5(R)-5-Fluoro-Beta-D-Xylopyranosyl-Enzyme Intermediate;2-(N-Morpholino)-Ethanesulfonic Acid;4-NITROPHENYL-(6-S-ALPHA-D-XYLOPYRANOSYL)-BETA-D-GLUCOPYRANOSIDE","Drug target",,82,82,91,"0.0"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.4715",,,"P36640","Salmonella typhimurium",,"Mg(2+) transport ATPase, P-type (EC 3.6.3.2)","the p-type atpase (p-atpase) superfamily.","3.A.3.4.1","11677609;7751273",100,100,100,"0.0"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.915",,,"P31135","Escherichia coli",,"Putrescine transport system permease protein PotH (TC 3.A.1.11.2)","the atp-binding cassette (abc) superfamily.","3.A.1.11.2","15919996;16738553;8416922;8905232;9278503;9298646;9651355;9761835",100,100,92,"1e-172"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1834",,,"15801917","Escherichia coli O157:H7 str. EDL933","trpB","Tryptophan synthase beta chain (EC 4.2.1.20)",,"","15731074",100,100,96,"1e-225"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.4778",,,"C8UN36","Escherichia coli O111:H- (strain 11128 / EHEC)",,"Inner membrane protein YjiG","the putative 4, 5, 8, 10 tms permease (4,5,8,10p) family.","9.B.156.1.1",,100,100,95,"8e-79"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1507",,,"SEN1631","Salmonella enterica subsp. enterica serovar Enteritidis str. P125109","ssaV","Type III secretion inner membrane channel protein (LcrD,HrcV,EscV,SsaV)",,"Intracellular survival and replication,Type III secretion","19322708",100,100,100,"0.0"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.108",,,"P0A9E0","Escherichia coli (strain K12)","araC","Arabinose operon regulatory protein AraC","Alpha-L-Arabinose;Beta-D-Fucose","Drug target",,96,100,92,"1e-158"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3549",,,"P0ADW0","Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)",,"Lipopolysaccharide export system protein LptC","the outer membrane lipopolysaccharide export porin (lps-ep) family.","1.B.42.1.2","15919996;16738553;18375759;7610040;9278503",100,100,91,"1e-98"
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3670",,,,,"S10p","SSU ribosomal protein S10p (S20e)","SSU ribosomal protein S10p (S20e)","antibiotic target in susceptible species","26124155",,,,
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1493",,,"VFG000501","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","sseC","Secretion system effector SseC",,"Secretion system,Type III secretion system",,100,100,100,"1e-276"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.2720",,,"16765833","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 ","shdA","AIDA autotransporter-like protein",,"","12540539",96,100,100,"0.0"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.839",,,"P75770","Escherichia coli (strain K12)",,"Inner membrane protein YbhQ","the glycosyl transferase 2 (gt2) family.","4.D.2.4.3",,100,99,89,"1e-168"
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3675",,,,,"EF-G","Translation elongation factor G","Translation elongation factor G","antibiotic target in susceptible species","17980694",,,,
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1981",,,"STM474_1888","Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74","pagO","Permease of the drug/metabolite transporter (DMT) superfamily",,"Virulence","17526851",100,100,100,"1e-171"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1547",,,"P77285","Escherichia coli (strain K12)",,"Electron transport complex protein RnfG","the putative ion (h(+) or na(+))-translocating nadh:ferredoxin oxidoreductase (nfo or rnf) family.","3.D.6.1.4",,100,100,84,"2e-98"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3882",,,"STM14_4386","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","lpfB","Chaperone protein LpfB",,"Adhesion,Invasion","8613405;9596751",100,100,100,"1e-130"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3081",,,"16761666","Salmonella enterica subsp. enterica serovar Typhi str. CT18","spaQ","Type III secretion inner membrane protein (YscS,homologous to flagellar export components); Surface presentation of antigens protein SpaQ",,"","8751894",100,100,100,"2e-42"
"BLAT","Antibiotic Resistance","CARD","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1951",,,"NP_416340.1","Escherichia coli str. K-12 substr. MG1655","mgrB","PhoP/PhoQ regulator MgrB",,"efflux pump conferring antibiotic resistance,gene altering cell wall charge conferring antibiotic resistance,gene conferring resistance via absence,gene modulating antibiotic efflux,polymyxin resistance gene",,100,100,87,"1e-18"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3074",,,"16766188","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","sipA","Type III secretion injected virulence protein (YopE)",,"","19046340",100,100,99,"0.0"
"BLAT","Drug Target","TTD","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3249",,,"TTDR01087",,,"Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)",,"",,100,100,95,"1e-281"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.2204",,,"205353166","Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91","cobS","Cobalamin synthase (EC 2.7.8.26)",,"","20153354",100,100,100,"1e-136"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1560",,,"P05042","Escherichia coli (strain K12)","fumC","Fumarate hydratase class II (EC 4.2.1.2)","Pyromellitic Acid;3-Trimethylsilylsuccinic Acid;Malate Ion;Citric Acid","Drug target",,100,100,91,"1e-250"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.4635",,,"P39300","Escherichia coli (strain K12)","ulaG","L-ascorbate-6-phosphate lactonase UlaG","N-Formylmethionine","Drug target",,100,100,97,"1e-215"
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1515",,,"VFG000522","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","ssaU","Type III secretion inner membrane protein (YscU,SpaS,EscU,HrcU,SsaU, homologous to flagellar export components)",,"Secretion system,Type III secretion system",,100,100,100,"1e-199"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1385",,,"STM474_1300","Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74",,"Putative NAD(P)H nitroreductase YdjA",,"Virulence","17526851",100,100,100,"1e-101"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.721",,,"15642106","Vibrio cholerae O1 biovar El Tor str. N16961","fur","Ferric uptake regulation protein FUR",,"","11952899",88,88,81,"2e-60"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3759",,,"P0A6V7","Shigella flexneri","glpE","Thiosulfate sulfurtransferase GlpE (EC 2.8.1.1)","S-Mercaptocysteine","Drug target",,100,100,81,"1e-46"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1202",,,"P0A6R0","Escherichia coli (strain K12)","fabH","3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","Cerulenin;Coenzyme A;S-Acetyl-Cysteine;1-(5-Carboxypentyl)-5-[(2,6-Dichlorobenzyl)Oxy]-1 H-Indole-2-Carboxylic Acid;Cysteinesulfonic Acid;Malonyl-Coenzyme A","Drug target",,100,100,94,"1e-171"
"BLAT","Drug Target","TTD","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3539",,,"TTDS00233",,,"UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)",,"",,33,100,97,"1e-233"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3455",,,"P0AGE4","Escherichia coli",,"Serine/threonine:Na+ symporter SstT","the dicarboxylate/amino acid:cation (na(+) or h(+)) symporter (daacs) family.","2.A.23.4.1","12097162;15919996;16738553;9278503;9852024",99,99,93,"1e-218"
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1494",,,"VFG000502","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","sseD","Secretion system effector SseD",,"Secretion system,Type III secretion system",,100,100,100,"1e-103"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3057",,,"STM14_3462","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","avrA","Type III secretion injected virulence protein (YopP,YopJ, induces apoptosis, prevents cytokine induction, inhibits NFkb activation)",,"Defense against host immune response,Defense against host immune response,Intracellular survival and replication","12218096;18523661;20224008",94,100,100,"1e-149"
"BLAT","Antibiotic Resistance","CARD","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.373",,,"NP_459349.1","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","golS","Transcriptional regulator, MerR family",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,100,100,100,"2e-84"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1868",,,"P11350","Escherichia coli",,"Respiratory nitrate reductase gamma chain (EC 1.7.99.4)","the prokaryotic molybdopterin-containing oxidoreductase (pmo) family.","5.A.3.1.1","12910261;1321049;14725769;15919996;16286471;16540088;16738553;20236317;2233673;2668029;2674654;2832376;2995309;3053688;3308846;6094247;8383531;8388253;8664273;8905232;9278503;9516445;9585550;9632249",100,100,92,"1e-122"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.4328",,,"Q8Z2X8","Salmonella typhi","lsrB","Autoinducer 2 (AI-2) ABC transporter, substrate-binding protein","(2r,4s)-2-Methyl-2,3,3,4-Tetrahydroxytetrahydrofuran","Drug target",,100,97,99,"1e-196"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.134",,,"P0ABG4","Escherichia coli",,"Peptidoglycan glycosyltransferase FtsW (EC 2.4.1.129)","the bacterial murein precursor exporter (mpe) family.","2.A.103.1.1","15919996;1630901;16738553;2197603;2509435;7961485;9006034;9218774;9278503",100,100,90,"1e-217"
"BLAT","Drug Target","TTD","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.203",,,"TTDR00666",,,"Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)",,"",,91,92,93,"0.0"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.557",,,"P77425","Escherichia coli (strain K12)","allC","Allantoate amidohydrolase (EC 3.5.3.9)","Diureido-Acetate","Drug target",,100,100,88,"1e-220"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.2568",,,"P0AG16","Escherichia coli (strain K12)","purF","Amidophosphoribosyltransferase (EC 2.4.2.14)","Guanosine-5'-Monophosphate;Carboxylic PRPP;5-Oxo-L-Norleucine","Drug target",,100,100,96,"1e-286"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.4396",,,"SL1344_4094","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344",,"Putative inner membrane protein",,"Virulence","16518469",85,100,100,"3e-44"
"BLAT","Drug Target","TTD","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.4161",,,"TTDR00570",,,"Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)",,"",,100,100,98,"1e-284"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3228",,,"P63340","Escherichia coli (strain K12)",,"Inner membrane transport protein YqeG","the hydroxy/aromatic amino acid permease (haaap) family.","2.A.42.2.5","15919996;16738553;9278503",99,99,90,"1e-214"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.4371",,,"16131793","Escherichia coli str. K-12 substr. MG1655","yijP","Phosphoethanolamine transferase EptC [E.coli], specific for LPS heptose I residue",,"","10456927",100,100,89,"0.0"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.4241",,,"P00582","Escherichia coli (strain K12)","polA","DNA polymerase I (EC 2.7.7.7)","Azelaic Acid;THYMIDINE-5'-THIOPHOSPHATE","Drug target",,100,100,93,"0.0"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.455",,,"P96063","Salmonella typhimurium",,"2-aminoethylphosphonate ABC transporter ATP-binding protein (TC 3.A.1.9.1)","the atp-binding cassette (abc) superfamily.","3.A.1.11.5","11677609;7592415",100,100,100,"1e-212"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.2689",,,"P24177","Escherichia coli",,"Aminoglycosides efflux system AcrAD-TolC, inner-membrane proton/drug antiporter AcrD (RND type)","the resistance-nodulation-cell division (rnd) superfamily.","2.A.6.2.7","10692383;15919996;1644752;16738553;9205837;9278503",99,99,94,"0.0"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.2957",,,"APECO1_O1CoBM141","Escherichia coli APEC O1","iroB","Glycosyltransferase IroB",,"Virulence","18541653",95,100,86,"1e-193"
"BLAT","Antibiotic Resistance","CARD","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.4517",,,"NP_458564.1","Salmonella enterica subsp. enterica serovar Typhi str. CT18","soxR","Redox-sensitive transcriptional activator SoxR",,"antibiotic resistant gene variant or mutant,efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,100,100,100,"9e-84"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.273",,,"SL1344_0257","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344",,"FIG005121: SAM-dependent methyltransferase (EC 2.1.1.-)",,"Virulence","16518469",100,100,100,"1e-142"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.2465",,,"P23827","Escherichia coli (strain K12)","eco","Proteinase inhibitor I11, ecotin precursor","Beta-D-Glucose","Drug target",,85,82,84,"5e-65"
